x,y,z
0.4434427,1.266256,-0.2033537
0.4434894,1.2651995,-0.2025912
0.4437375,1.263898,-0.201554033
0.444025725,1.2625515,-0.20044385
0.44427672,1.2612362,-0.19923602
0.44473538,1.2586382,-0.19681538
0.4452395,1.2559238,-0.19400908
0.44575886,1.253237,-0.19092746
0.44635338,1.2505158,-0.18752496
0.44705304,1.2477168,-0.18377354
0.44793676,1.2448974,-0.1797375
0.44891996,1.2420772,-0.17544558
0.44994444,1.2393248,-0.17085608
0.45090288,1.236768,-0.16592184
0.45189264,1.2344222,-0.16071502
0.45263246,1.2321668,-0.15539972
0.45342796,1.2301248,-0.14977198
0.45427926,1.2282898,-0.14391544
0.4542677,1.2267052,-0.1383465
0.45426242,1.2252174,-0.13252324
0.45438808,1.2239412,-0.12630658
0.45443574,1.2229166,-0.11981886
0.45434814,1.2222014,-0.113043012
0.45515698,1.2216492,-0.105613468
0.45592268,1.2213876,-0.098052194
0.4567236,1.2215876,-0.090374776
0.45758088,1.2220862,-0.082686106
0.45848466,1.2228558,-0.074964834
0.45933916,1.2238778,-0.067027604
0.46016094,1.225261,-0.058984658
0.46088908,1.2270424,-0.050767586
0.46155024,1.2291298,-0.042385524
0.46215244,1.2315612,-0.033924244
0.46278294,1.2344242,-0.025528608
0.4634964,1.2376416,-0.017144881
0.46426072,1.2410822,-0.008878649
0.46506276,1.2449486,-0.000723285
0.46590872,1.2490776,0.007343643
0.46674976,1.2536688,0.015332087
0.46747594,1.2587814,0.023195303
0.4682046,1.2643992,0.031001504
0.46890062,1.2702974,0.038723402
0.4696387,1.2766924,0.046217372
0.47042936,1.2832692,0.053531812
0.47127068,1.2901262,0.060683852
0.47213632,1.297251,0.067668772
0.47305056,1.3048798,0.074417566
0.47398788,1.3127732,0.08100302
0.47490794,1.321022,0.08736517
0.47583282,1.329503,0.093501908
0.47673072,1.3381376,0.099434584
0.47761328,1.3468952,0.105108656
0.4784371,1.3557658,0.110664044
0.47921466,1.3648364,0.11591078
0.4799304,1.3739942,0.12100098
0.480558,1.383305,0.12585012
0.48150782,1.3925642,0.1303667
0.48233684,1.4019258,0.13470484
0.4830241,1.4112764,0.13885728
0.48357512,1.42064,0.14285462
0.48398376,1.4300196,0.1466227
0.48380336,1.4393978,0.15038158
0.48340466,1.448741,0.15391504
0.48280788,1.4579262,0.15735394
0.48208048,1.4669912,0.16060322
0.48116642,1.475961,0.16364168
0.48010756,1.4848524,0.16658384
0.47886014,1.4934792,0.16924094
0.47748906,1.5019686,0.1718012
0.4758556,1.510226,0.17418002
0.47411324,1.5181482,0.17641064
0.47228378,1.525734,0.17836996
0.47049788,1.5331454,0.18024376
0.46871466,1.5403186,0.18184252
0.4670558,1.5472738,0.18311788
0.4654895,1.553943,0.18415948
0.46351294,1.5615818,0.18510538
0.46186604,1.567798,0.18575266
0.46013006,1.5736886,0.1862694
0.4582978,1.5792978,0.18667994
0.45636198,1.5847314,0.18703492
0.45484398,1.58863,0.18713238
0.45301192,1.5931992,0.1871949
0.45124974,1.597391,0.18709114
0.44928794,1.6017638,0.18675748
0.44750222,1.6055192,0.18621002
0.44603864,1.6084448,0.18570876
0.44475264,1.6110044,0.18500426
0.44367174,1.6133526,0.18382094
0.44318492,1.6145086,0.18284978
0.44277006,1.6155634,0.1814887
0.4423552,1.6166182,0.18012762
0.44206604,1.6173754,0.17866026
0.44194014,1.6175948,0.17742464
0.44190836,1.6176306,0.17591514
0.4421387,1.6171498,0.17469768
0.44254876,1.6162796,0.17314236
0.4429827,1.6147984,0.1712135
0.4433911,1.6134126,0.16961534
0.4438037,1.611903,0.16795834
0.44325288,1.6104234,0.16660942
0.44264204,1.6088942,0.16530678
0.44234962,1.6073892,0.1645489
0.44233286,1.60526,0.16360976
0.44252186,1.6028584,0.16275466
0.4438473,1.5999648,0.1616954
0.44536788,1.5967796,0.1607548
0.4470666,1.5926496,0.15974802
0.44848966,1.5891438,0.1589225
0.44998668,1.5853712,0.15823416
0.45154332,1.5813926,0.1575569
0.45323124,1.5772196,0.15694462
0.4552245,1.5725916,0.15648664
0.45763302,1.5668182,0.15609524
0.460009,1.560651,0.155956
0.46203088,1.5553606,0.15597018
0.4642383,1.5485158,0.1563163
0.46587452,1.5422964,0.15683712
0.46709548,1.5372224,0.15729136
0.46821918,1.5321022,0.15773736
0.47002912,1.5239682,0.15863302
0.4712074,1.5183136,0.15930468
0.47279564,1.510617,0.16056798
0.47438388,1.5029204,0.16183128
0.47588556,1.4947266,0.16342122
0.47681602,1.4876808,0.16502668
0.47786452,1.4787976,0.16713386
0.47828024,1.4712888,0.16917452
0.47870288,1.4617274,0.17179442
0.47901734,1.451898,0.17452422
0.47955538,1.4394016,0.17787156
0.47997538,1.4287426,0.18071718
0.480505,1.417743,0.18348516
0.48084362,1.403876,0.18712888
0.4810167,1.3895974,0.19097264
0.48052412,1.377256,0.19446072
0.48003154,1.3649146,0.1979488
0.47893472,1.3498502,0.20209958
0.47784546,1.3371108,0.20526826
0.47686824,1.3268348,0.20766794
0.4757757,1.31374,0.21025594
0.4741715,1.297842,0.21348986
0.47304094,1.2870294,0.21552402
0.47094812,1.273301,0.21827462
0.46826816,1.2568984,0.22147144
0.4654758,1.2432486,0.22402038
0.46275658,1.2296656,0.2262108
0.46003736,1.2160826,0.22840122
0.45796638,1.2053538,0.22966896
0.45516422,1.1920596,0.2310439
0.45219548,1.1788234,0.23250776
0.44878352,1.1658734,0.23387652
0.44444274,1.150478,0.23549308
0.4405925,1.1377392,0.236843
